K,T,rep,density,rho_true,rho_naive,rho_corrected,radius_error_naive,radius_error_corrected,rel_frob_naive,rel_frob_corrected,support_auc_naive,support_auc_corrected,support_ap_naive,support_ap_corrected,support_f1_oracle_naive,support_f1_oracle_corrected,perron_cos_naive,perron_cos_corrected,projection_error
25,5000,0,0.1856,0.6500000000000005,0.9066099795785442,0.6635663101727267,0.2566099795785437,0.013566310172726248,0.14530536503080949,0.026294353920781995,0.9935641216719734,0.9999491904342525,0.9828625923607458,0.9997826716893655,0.9396551724137931,0.9913793103448276,0.98511878073078,0.9996513428107248,0.03413369288555207
25,5000,1,0.1664,0.6500000000000009,0.9109626459493212,0.6634713700576902,0.2609626459493203,0.01347137005768928,0.1501371674790907,0.023612582873312023,0.9990033958364093,1.0,0.9956813367090491,1.0,0.9711538461538461,1.0,0.9707765875116541,0.9997555433500217,0.030158264654670336
25,5000,2,0.184,0.6499999999999985,0.9116700265607369,0.6928657631498512,0.26167002656073846,0.04286576314985269,0.08119690382763368,0.019656362979168108,0.9990963341858482,0.9999829497016198,0.9967852437417654,0.9999250374812594,0.9826086956521739,0.991304347826087,0.9398329227244718,0.9950943425117572,0.025312082378940035
25,5000,3,0.2016,0.6499999999999988,0.9099530112180476,0.6785473149352844,0.2599530112180488,0.028547314935285617,0.12582526444358666,0.023666378999571185,0.999984095174476,1.0,0.9999375078115236,1.0,0.9920634920634921,1.0,0.9867248897770085,0.9996694122178649,0.03161994888553091
25,5000,4,0.1808,0.6500000000000011,0.9129650485002053,0.6772561978406971,0.2629650485002042,0.027256197840695995,0.15526057540903554,0.030289462792215175,0.9981505807522124,0.9995333241150443,0.9928025905636045,0.9982932996207332,0.9469026548672567,0.9911504424778761,0.9882858815530645,0.9997333656863682,0.03753744032172622
25,20000,0,0.1904,0.649999999999998,0.9099274312531069,0.6603998903015389,0.2599274312531089,0.01039989030154087,0.14081513919975136,0.013104576058917423,0.9998339256651277,1.0,0.9993385221735752,1.0,0.9915966386554622,1.0,0.981404953636735,0.9998719933056704,0.01713346385786749
25,20000,1,0.192,0.650000000000001,0.911306478312526,0.6643876227600117,0.26130647831252496,0.01438762276001071,0.10003208404597287,0.010640601682003595,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9770135935723104,0.9997815266433332,0.013710981142074197
25,20000,2,0.1984,0.650000000000001,0.9096034437709548,0.6599062932170479,0.2596034437709538,0.009906293217046835,0.15280972640387255,0.0140334128192611,0.9964265018350396,1.0,0.9939957348759682,1.0,0.9838709677419355,1.0,0.9833749485228256,0.9999308710980301,0.018036144682452834
25,20000,3,0.2,0.6499999999999994,0.910166986448905,0.6614931088068958,0.2601669864489057,0.011493108806896468,0.12680540832410114,0.013260937995805775,1.0,1.0,1.0,1.0,1.0,1.0,0.9715854839297302,0.9998604629761075,0.016854037268118266
25,20000,4,0.1904,0.6499999999999997,0.9084132533927389,0.6593687745093867,0.25841325339273924,0.009368774509387001,0.14572058951424438,0.01244942544524582,0.9965788687016308,1.0,0.9946735617323852,1.0,0.9915966386554622,1.0,0.9843374929495352,0.9999014348265811,0.016558387993291502
50,1000,0,0.088,0.6500000000000016,0.939397090181333,0.7721274104859521,0.2893970901813314,0.12212741048595055,0.10727914697443638,0.06380477272699211,0.9971152312599681,0.9974760765550239,0.983267294983447,0.9838510863361136,0.9409090909090909,0.9454545454545454,0.9803823449591773,0.9947938291855343,0.07231834990780278
50,1000,1,0.0988,0.6500000000000001,0.930691087502578,0.745248648117055,0.2806910875025779,0.09524864811705491,0.14477010547635855,0.07558938619798247,0.9939549786070215,0.994195773157158,0.9698278078790307,0.9711558307912062,0.9109311740890689,0.9190283400809717,0.9819736155663575,0.9963882059147511,0.09097646012807495
50,1000,2,0.1076,0.650000000000001,0.9311684645693318,0.7469454548201746,0.28116846456933076,0.09694545482017358,0.14941643022534906,0.08215403435512329,0.9825040532276689,0.9837929213065639,0.9416766509599123,0.9447336748509825,0.8810408921933085,0.8847583643122676,0.9804652280276921,0.9956067750888705,0.09708594539302176
