window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,K_requested
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,20,4260,2592,130,0.9181400137281991,0.9142038527082912,0.003936161019907902,False,0.5790551478921999,0.6006557248025313,0.5959673338912187,5.2388716653266965,0.9912687860044772,0.07692307692307693,False,,8,0.6310655062324506,-0.0021943718543965957,-0.00037857715664569837,0.016621458606290218,0.056358548073511906,0.057982492438121674,0.9166666666666666,20
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,25,4260,3227,130,0.918235075499182,0.914147363360381,0.004087712138800992,False,0.5824626516312338,0.5792620855159866,0.5753172634153499,5.191317779484107,0.985012619655164,0.07692307692307693,False,,10,0.5432172540834814,0.0031971852377196104,0.004508998554644239,0.025414163197026107,0.11261057476437128,0.12395134883247634,1.0,25
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,30,4260,3874,130,0.9182350008569102,0.9142241898462489,0.004010811010661364,False,0.5577420297381555,0.5684480895020467,0.565224945936275,5.70391677284595,0.9857298313488553,0.07692307692307693,False,,12,0.5020775413553286,0.001873909155143716,0.0030395797464490503,0.02164133899428755,0.06919768611070708,0.0700514339472225,1.0,30
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,5,4260,325,65,0.8840974175050056,0.7697255840442289,0.11437183346077673,False,0.8350741151578852,0.6790472461131312,0.6723730580365211,2.38486294280032,0.9807181757419114,0.07692307692307693,False,,0,,0.029180223707920103,0.03547841149098487,0.13399905082555535,0.19667762232682168,0.2000275570318114,1.0,5
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,10,4260,648,65,0.8847700924040902,0.6839561303945524,0.20081396200953783,False,0.6914075395705694,0.6652867919388856,0.6612201948686437,3.4042918258413533,0.9818387162715764,0.07692307692307693,False,,0,0.5229121632921307,0.07864873046867675,0.08505225653351943,0.18761201315784098,0.371777213725196,0.38697759852366437,1.0,10
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,15,4260,972,65,0.9151786810339093,0.9061016921849608,0.009076988848948475,False,0.643217852357195,0.6621533073431036,0.6561989635404338,4.189818757098515,0.9814175913628926,0.07692307692307693,False,,5,0.7822180135035434,-0.001426075721553724,-0.0010700282234596015,0.005402429249396379,0.10009631463977187,0.12032864215780077,0.8333333333333334,15
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,20,4260,1297,65,0.9070670402217152,0.9057826904862214,0.0012843497354938505,False,0.7212297673221878,0.6357505443381677,0.6313733956375904,4.369059309381373,0.9816300326569434,0.3076923076923077,False,,5,0.5067221896197928,-0.004399466382466832,0.00021733303274723564,0.006270565183160048,0.03036007846042708,0.09035749258253586,0.9583333333333334,20
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,25,4260,1611,65,0.9072112716801899,0.905819897347547,0.001391374332642914,False,0.7192081425847423,0.6213823624768421,0.6171451030906611,4.5950028934256855,0.9766348618937097,0.15384615384615385,False,,7,0.5216673617720314,-0.0011693631919641148,1.6008954654422903e-05,0.004821425125811851,0.1696373821856193,0.1919824567812958,0.9166666666666666,25
FTX_collapse,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,30,4260,1935,65,0.9063201197443482,0.9058500993350882,0.0004700204092600302,False,0.6834818449918911,0.6148918373348394,0.611806184193769,5.092434602534504,0.9755111907222036,0.07692307692307693,False,,12,0.5213606854377542,-0.0007146122674060172,-0.00018325761070489,0.0059973129363206645,0.12643086959026675,0.13897559372965135,0.875,30
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,5,5700,1428,288,0.9056822764859664,0.8132810229781164,0.09240125350785,False,0.664805616015975,0.635374237013036,0.6315061227880913,3.090101631647626,0.9938374015110523,0.07692307692307693,False,,0,0.5504328615035043,0.02911404382157689,0.03551736407483634,0.10531757461867453,0.2681784901267049,0.30183774094250965,1.0,5
